"recencia_dias","num_facturas_12m","meses_con_compra_12m","meses_con_compra_24m","pct_regularidad","neto_12m","bruto_12m","rentab_12m","costo_12m","unidades_12m","ticket_medio_neto","ticket_medio_bruto","pct_margen","pct_descuento_real","devuelto_12m","num_nc_12m","tasa_devolucion","num_referencias_12m","num_familias_12m","neto_6m_rec","neto_6m_ant","pct_tendencia","meses_vida_cliente","meses_sin_comprar","anios_con_compra","neto_historico","rentab_historico","antiguedad_anios","rentab_media_anual","prob_churn","clv_proyectado_2a","r_score","f_score","m_score","rfm_score","segmento_rfm","etapa_ciclo_vida","tendencia","pareto_v","pareto_r","medio_predominante","forma_pago","churn"
214,62,6,17,47.2,72838.3900,142146.9600,26439.8485,46398.5415,10573.0000,1174.81,2292.69,36.30,48.76,788.9700,3,0.0108,216,11,0.0000,72838.3900,-100.0,36,7,4,486586.2800,168703.7106,3.00,56234.57,0.50,56234.57,2,5,5,4.10,EN_RIESGO,EN_RIESGO,DECAYENDO,A,A,Tradicional,Crédito 90 días 3P (30-60-90),1
137,8,5,11,47.8,3478.6200,6381.7500,1226.1167,2252.5033,339.0000,434.83,797.72,35.25,45.49,0.0000,0,0.0000,24,9,636.1500,2842.4700,-77.6,23,4,3,7198.7600,2441.0771,1.92,1273.61,0.20,2037.77,3,4,4,3.70,LEAL_ALTO_VALOR,RIESGO_TEMPRANO,DECAYENDO,C,C,Tradicional,Crédito 60 días 2P (30-60),0
13,10,7,9,25.7,8301.5300,12211.1700,4180.7701,4120.7599,182.0000,830.15,1221.12,50.36,32.02,0.0000,0,0.0000,54,8,5782.6500,2518.8800,129.6,35,0,3,10046.3300,5123.2936,2.92,1756.56,0.05,3337.46,5,5,5,5.00,CAMPEON,MADURO,CRECIENDO,C,B,Tradicional,Contado - Efectivo,0
60,1,1,5,14.3,389.6300,556.6100,285.3743,104.2557,3.0000,389.63,556.61,73.24,30.00,0.0000,0,0.0000,2,1,389.6300,0.0000,,35,2,4,4605.6700,2964.1719,2.92,1016.29,0.05,1930.95,4,2,3,3.00,NUEVO_PROMETEDOR,MADURO,SIN_HISTORICO,C,C,Tradicional,Crédito 30 días,0
319,1,1,1,10.0,117.6000,147.0000,69.2454,48.3546,1.0000,117.60,147.00,58.88,20.00,0.0000,0,0.0000,1,1,0.0000,117.6000,-100.0,10,10,1,117.6000,69.2454,0.83,83.09,0.50,83.09,1,1,2,1.40,HIBERNANDO,EN_RIESGO,DECAYENDO,C,C,Tradicional,Contado - Efectivo,1
3,96,7,19,52.8,195610.5200,403731.0900,61247.9140,134362.6060,24936.0000,2037.61,4205.53,31.31,51.55,667.2200,3,0.0034,238,12,24380.5500,171229.9700,-85.8,36,0,4,766137.3400,212384.3318,3.00,70794.78,0.05,134510.08,5,5,5,5.00,CAMPEON,MADURO,DECAYENDO,A,A,Tradicional,Crédito 90 días 3P (30-60-90),0
6,18,10,17,48.6,29781.1300,46870.3400,19230.9431,10550.1869,243.0000,1654.51,2603.91,64.57,36.46,5242.0300,1,0.1760,26,4,14279.9200,15501.2100,-7.9,35,0,4,180167.6500,78204.3147,2.92,26812.91,0.05,50944.54,5,5,5,5.00,CAMPEON,MADURO,ESTABLE,B,B,Tradicional,Crédito 8 días,0
235,1,1,1,14.3,13.0400,22.7500,5.7107,7.3293,1.0000,13.04,22.75,43.79,42.68,0.0000,0,0.0000,1,1,0.0000,13.0400,-100.0,7,7,1,13.0400,5.7107,0.58,9.79,0.50,9.79,2,2,1,1.60,HIBERNANDO,EN_RIESGO,DECAYENDO,C,C,Tradicional,Contado - Efectivo,1
12,4,3,4,26.7,544.2600,753.3900,345.6575,198.6025,21.5000,136.07,188.35,63.51,27.76,0.0000,0,0.0000,6,2,544.2600,0.0000,,15,0,2,1738.5300,1216.0251,1.25,972.82,0.05,1848.36,5,4,3,3.90,LEAL_POTENCIAL,MADURO,SIN_HISTORICO,C,C,Tradicional,Contado - Efectivo,0
14,3,2,2,25.0,722.6200,984.8300,469.6599,252.9601,18.0000,240.87,328.28,64.99,26.62,0.0000,0,0.0000,5,4,384.0800,338.5400,13.5,8,0,1,722.6200,469.6599,0.67,704.49,0.05,1338.53,5,4,3,3.90,LEAL_POTENCIAL,DESARROLLO,CRECIENDO,C,C,Tradicional,Contado - Efectivo,0
